lr,epochs,batch_size,growth_rate,mean_accuracy,+-
0.0005,100,32,1,64.85,2.84
0.0005,100,32,2,58.00,6.02
0.0005,100,32,4,59.02,2.48
0.0005,100,32,8,62.88,5.10
0.0005,100,64,1,55.03,1.94
0.0005,100,64,2,57.15,5.23
0.0005,100,64,4,56.05,4.33
0.0005,100,64,8,51.88,1.87
0.0005,150,8,1,62.93,6.29
0.0005,150,8,2,62.38,5.53
0.0005,150,8,4,64.77,3.13
0.0005,150,8,8,64.38,2.74
0.0005,150,16,1,64.05,2.74
0.0005,150,16,2,59.90,1.99
0.0005,150,16,4,63.00,2.03
0.0005,150,16,8,62.67,3.88
0.0005,150,32,1,59.90,2.41
0.0005,150,32,2,59.40,2.06
0.0005,150,32,4,62.92,1.08
0.0005,150,32,8,59.33,4.59
0.0005,150,64,1,60.20,1.70
0.0005,150,64,2,59.88,0.68
0.0005,150,64,4,57.05,5.03
0.0005,150,64,8,55.10,1.21
